idx,a,b,c,d,e,f,g,h,i,j,class
143,0,0,1,0,0,0,1,1,1,1,1
213,0,0,1,1,0,1,0,1,0,1,0
362,0,1,0,1,1,0,1,0,1,0,1
494,0,1,1,1,1,0,1,1,1,0,0
899,1,1,1,0,0,0,0,0,1,1,1
81,0,0,0,1,0,1,0,0,0,1,0
444,0,1,1,0,1,1,1,1,0,0,1
315,0,1,0,0,1,1,1,0,1,1,1
555,1,0,0,0,1,0,1,0,1,1,1
596,1,0,0,1,0,1,0,1,0,0,0
1009,1,1,1,1,1,1,0,0,0,1,1
72,0,0,0,1,0,0,1,0,0,0,1
505,0,1,1,1,1,1,1,0,0,1,1
466,0,1,1,1,0,1,0,0,1,0,0
592,1,0,0,1,0,1,0,0,0,0,0
401,0,1,1,0,0,1,0,0,0,1,1
921,1,1,1,0,0,1,1,0,0,1,1
192,0,0,1,1,0,0,0,0,0,0,1
230,0,0,1,1,1,0,0,1,1,0,0
54,0,0,0,0,1,1,0,1,1,0,0
793,1,1,0,0,0,1,1,0,0,1,1
886,1,1,0,1,1,1,0,1,1,0,0
665,1,0,1,0,0,1,1,0,0,1,1
994,1,1,1,1,1,0,0,0,1,0,0
468,0,1,1,1,0,1,0,1,0,0,1
964,1,1,1,1,0,0,0,1,0,0,1
159,0,0,1,0,0,1,1,1,1,1,1
172,0,0,1,0,1,0,1,1,0,0,0
914,1,1,1,0,0,1,0,0,1,0,1
623,1,0,0,1,1,0,1,1,1,1,0
475,0,1,1,1,0,1,1,0,1,1,0
651,1,0,1,0,0,0,1,0,1,1,1
935,1,1,1,0,1,0,0,1,1,1,1
722,1,0,1,1,0,1,0,0,1,0,1
386,0,1,1,0,0,0,0,0,1,0,1
945,1,1,1,0,1,1,0,0,0,1,1
536,1,0,0,0,0,1,1,0,0,0,1
630,1,0,0,1,1,1,0,1,1,0,0
695,1,0,1,0,1,1,0,1,1,1,1
148,0,0,1,0,0,1,0,1,0,0,1
173,0,0,1,0,1,0,1,1,0,1,1
727,1,0,1,1,0,1,0,1,1,1,0
157,0,0,1,0,0,1,1,1,0,1,1
242,0,0,1,1,1,1,0,0,1,0,0
779,1,1,0,0,0,0,1,0,1,1,1
89,0,0,0,1,0,1,1,0,0,1,1
987,1,1,1,1,0,1,1,0,1,1,1
546,1,0,0,0,1,0,0,0,1,0,1
764,1,0,1,1,1,1,1,1,0,0,1
563,1,0,0,0,1,1,0,0,1,1,1
93,0,0,0,1,0,1,1,1,0,1,0
763,1,0,1,1,1,1,1,0,1,1,0
849,1,1,0,1,0,1,0,0,0,1,0
168,0,0,1,0,1,0,1,0,0,0,0
846,1,1,0,1,0,0,1,1,1,0,0
178,0,0,1,0,1,1,0,0,1,0,1
820,1,1,0,0,1,1,0,1,0,0,1
879,1,1,0,1,1,0,1,1,1,1,0
533,1,0,0,0,0,1,0,1,0,1,1
210,0,0,1,1,0,1,0,0,1,0,0
338,0,1,0,1,0,1,0,0,1,0,0
891,1,1,0,1,1,1,1,0,1,1,0
778,1,1,0,0,0,0,1,0,1,0,1
55,0,0,0,0,1,1,0,1,1,1,1
647,1,0,1,0,0,0,0,1,1,1,1
848,1,1,0,1,0,1,0,0,0,0,1
878,1,1,0,1,1,0,1,1,1,0,0
895,1,1,0,1,1,1,1,1,1,1,0
933,1,1,1,0,1,0,0,1,0,1,1
558,1,0,0,0,1,0,1,1,1,0,0
487,0,1,1,1,1,0,0,1,1,1,0
