idx,a,b,c,d,e,f,g,h,i,j,class
143,0,0,1,0,0,0,1,1,1,1,0
213,0,0,1,1,0,1,0,1,0,1,1
362,0,1,0,1,1,0,1,0,1,0,0
494,0,1,1,1,1,0,1,1,1,0,0
899,1,1,1,0,0,0,0,0,1,1,1
81,0,0,0,1,0,1,0,0,0,1,1
444,0,1,1,0,1,1,1,1,0,0,0
315,0,1,0,0,1,1,1,0,1,1,0
555,1,0,0,0,1,0,1,0,1,1,1
596,1,0,0,1,0,1,0,1,0,0,1
1009,1,1,1,1,1,1,0,0,0,1,1
72,0,0,0,1,0,0,1,0,0,0,0
505,0,1,1,1,1,1,1,0,0,1,0
466,0,1,1,1,0,1,0,0,1,0,0
592,1,0,0,1,0,1,0,0,0,0,1
401,0,1,1,0,0,1,0,0,0,1,1
921,1,1,1,0,0,1,1,0,0,1,1
192,0,0,1,1,0,0,0,0,0,0,0
230,0,0,1,1,1,0,0,1,1,0,0
54,0,0,0,0,1,1,0,1,1,0,0
793,1,1,0,0,0,1,1,0,0,1,1
886,1,1,0,1,1,1,0,1,1,0,1
665,1,0,1,0,0,1,1,0,0,1,1
994,1,1,1,1,1,0,0,0,1,0,1
468,0,1,1,1,0,1,0,1,0,0,0
964,1,1,1,1,0,0,0,1,0,0,1
159,0,0,1,0,0,1,1,1,1,1,0
172,0,0,1,0,1,0,1,1,0,0,0
914,1,1,1,0,0,1,0,0,1,0,1
623,1,0,0,1,1,0,1,1,1,1,1
475,0,1,1,1,0,1,1,0,1,1,0
651,1,0,1,0,0,0,1,0,1,1,1
935,1,1,1,0,1,0,0,1,1,1,1
722,1,0,1,1,0,1,0,0,1,0,1
386,0,1,1,0,0,0,0,0,1,0,0
945,1,1,1,0,1,1,0,0,0,1,1
536,1,0,0,0,0,1,1,0,0,0,1
630,1,0,0,1,1,1,0,1,1,0,1
695,1,0,1,0,1,1,0,1,1,1,1
148,0,0,1,0,0,1,0,1,0,0,0
173,0,0,1,0,1,0,1,1,0,1,0
727,1,0,1,1,0,1,0,1,1,1,1
157,0,0,1,0,0,1,1,1,0,1,0
242,0,0,1,1,1,1,0,0,1,0,0
779,1,1,0,0,0,0,1,0,1,1,1
89,0,0,0,1,0,1,1,0,0,1,0
987,1,1,1,1,0,1,1,0,1,1,1
546,1,0,0,0,1,0,0,0,1,0,1
764,1,0,1,1,1,1,1,1,0,0,1
563,1,0,0,0,1,1,0,0,1,1,1
93,0,0,0,1,0,1,1,1,0,1,0
763,1,0,1,1,1,1,1,0,1,1,1
849,1,1,0,1,0,1,0,0,0,1,1
168,0,0,1,0,1,0,1,0,0,0,0
846,1,1,0,1,0,0,1,1,1,0,1
178,0,0,1,0,1,1,0,0,1,0,0
820,1,1,0,0,1,1,0,1,0,0,1
879,1,1,0,1,1,0,1,1,1,1,1
533,1,0,0,0,0,1,0,1,0,1,1
210,0,0,1,1,0,1,0,0,1,0,0
338,0,1,0,1,0,1,0,0,1,0,0
891,1,1,0,1,1,1,1,0,1,1,1
778,1,1,0,0,0,0,1,0,1,0,1
55,0,0,0,0,1,1,0,1,1,1,1
647,1,0,1,0,0,0,0,1,1,1,1
848,1,1,0,1,0,1,0,0,0,0,1
878,1,1,0,1,1,0,1,1,1,0,1
895,1,1,0,1,1,1,1,1,1,1,1
933,1,1,1,0,1,0,0,1,0,1,1
558,1,0,0,0,1,0,1,1,1,0,1
487,0,1,1,1,1,0,0,1,1,1,1
787,1,1,0,0,0,1,0,0,1,1,1
97,0,0,0,1,1,0,0,0,0,1,1
161,0,0,1,0,1,0,0,0,0,1,1
40,0,0,0,0,1,0,1,0,0,0,0
341,0,1,0,1,0,1,0,1,0,1,1
583,1,0,0,1,0,0,0,1,1,1,1
373,0,1,0,1,1,1,0,1,0,1,1
209,0,0,1,1,0,1,0,0,0,1,0
62,0,0,0,0,1,1,1,1,1,0,0
863,1,1,0,1,0,1,1,1,1,1,1
966,1,1,1,1,0,0,0,1,1,0,1
329,0,1,0,1,0,0,1,0,0,1,0
585,1,0,0,1,0,0,1,0,0,1,1
11,0,0,0,0,0,0,1,0,1,1,0
1014,1,1,1,1,1,1,0,1,1,0,1
962,1,1,1,1,0,0,0,0,1,0,1
284,0,1,0,0,0,1,1,1,0,0,0
635,1,0,0,1,1,1,1,0,1,1,1
736,1,0,1,1,1,0,0,0,0,0,1
726,1,0,1,1,0,1,0,1,1,0,1
106,0,0,0,1,1,0,1,0,1,0,0
851,1,1,0,1,0,1,0,0,1,1,1
716,1,0,1,1,0,0,1,1,0,0,1
729,1,0,1,1,0,1,1,0,0,1,1
751,1,0,1,1,1,0,1,1,1,1,1
620,1,0,0,1,1,0,1,1,0,0,1
497,0,1,1,1,1,1,0,0,0,1,1
513,1,0,0,0,0,0,0,0,0,1,1
765,1,0,1,1,1,1,1,1,0,1,1
478,0,1,1,1,0,1,1,1,1,0,0
361,0,1,0,1,1,0,1,0,0,1,0
545,1,0,0,0,1,0,0,0,0,1,1
986,1,1,1,1,0,1,1,0,1,0,1
95,0,0,0,1,0,1,1,1,1,1,0
264,0,1,0,0,0,0,1,0,0,0,0
667,1,0,1,0,0,1,1,0,1,1,1
799,1,1,0,0,0,1,1,1,1,1,1
320,0,1,0,1,0,0,0,0,0,0,0
661,1,0,1,0,0,1,0,1,0,1,1
357,0,1,0,1,1,0,0,1,0,1,1
919,1,1,1,0,0,1,0,1,1,1,1
578,1,0,0,1,0,0,0,0,1,0,0
449,0,1,1,1,0,0,0,0,0,1,1
663,1,0,1,0,0,1,0,1,1,1,1
856,1,1,0,1,0,1,1,0,0,0,1
892,1,1,0,1,1,1,1,1,0,0,1
873,1,1,0,1,1,0,1,0,0,1,1
929,1,1,1,0,1,0,0,0,0,1,1
561,1,0,0,0,1,1,0,0,0,1,1
845,1,1,0,1,0,0,1,1,0,1,1
169,0,0,1,0,1,0,1,0,0,1,0
784,1,1,0,0,0,1,0,0,0,0,1
262,0,1,0,0,0,0,0,1,1,0,0
202,0,0,1,1,0,0,1,0,1,0,0
618,1,0,0,1,1,0,1,0,1,0,1
482,0,1,1,1,1,0,0,0,1,0,0
29,0,0,0,0,0,1,1,1,0,1,0
627,1,0,0,1,1,1,0,0,1,1,1
989,1,1,1,1,0,1,1,1,0,1,1
952,1,1,1,0,1,1,1,0,0,0,1
748,1,0,1,1,1,0,1,1,0,0,1
682,1,0,1,0,1,0,1,0,1,0,1
980,1,1,1,1,0,1,0,1,0,0,1
331,0,1,0,1,0,0,1,0,1,1,0
843,1,1,0,1,0,0,1,0,1,1,1
654,1,0,1,0,0,0,1,1,1,0,1
216,0,0,1,1,0,1,1,0,0,0,0
785,1,1,0,0,0,1,0,0,0,1,1
422,0,1,1,0,1,0,0,1,1,0,0
63,0,0,0,0,1,1,1,1,1,1,0
132,0,0,1,0,0,0,0,1,0,0,0
926,1,1,1,0,0,1,1,1,1,0,1
629,1,0,0,1,1,1,0,1,0,1,1
867,1,1,0,1,1,0,0,0,1,1,1
396,0,1,1,0,0,0,1,1,0,0,0
570,1,0,0,0,1,1,1,0,1,0,1
603,1,0,0,1,0,1,1,0,1,1,1
898,1,1,1,0,0,0,0,0,1,0,1
747,1,0,1,1,1,0,1,0,1,1,1
