idx,a,b,c,d,e,f,g,h,i,j,class
143,0,0,1,0,0,0,1,1,1,1,1
213,0,0,1,1,0,1,0,1,0,1,1
362,0,1,0,1,1,0,1,0,1,0,1
494,0,1,1,1,1,0,1,1,1,0,1
899,1,1,1,0,0,0,0,0,1,1,0
81,0,0,0,1,0,1,0,0,0,1,1
444,0,1,1,0,1,1,1,1,0,0,1
315,0,1,0,0,1,1,1,0,1,1,1
555,1,0,0,0,1,0,1,0,1,1,1
596,1,0,0,1,0,1,0,1,0,0,0
1009,1,1,1,1,1,1,0,0,0,1,0
72,0,0,0,1,0,0,1,0,0,0,1
505,0,1,1,1,1,1,1,0,0,1,1
466,0,1,1,1,0,1,0,0,1,0,1
592,1,0,0,1,0,1,0,0,0,0,0
401,0,1,1,0,0,1,0,0,0,1,0
921,1,1,1,0,0,1,1,0,0,1,1
192,0,0,1,1,0,0,0,0,0,0,0
230,0,0,1,1,1,0,0,1,1,0,1
54,0,0,0,0,1,1,0,1,1,0,0
793,1,1,0,0,0,1,1,0,0,1,1
886,1,1,0,1,1,1,0,1,1,0,1
665,1,0,1,0,0,1,1,0,0,1,1
994,1,1,1,1,1,0,0,0,1,0,1
468,0,1,1,1,0,1,0,1,0,0,0
964,1,1,1,1,0,0,0,1,0,0,0
159,0,0,1,0,0,1,1,1,1,1,1
172,0,0,1,0,1,0,1,1,0,0,1
914,1,1,1,0,0,1,0,0,1,0,0
623,1,0,0,1,1,0,1,1,1,1,1
475,0,1,1,1,0,1,1,0,1,1,1
651,1,0,1,0,0,0,1,0,1,1,1
935,1,1,1,0,1,0,0,1,1,1,0
722,1,0,1,1,0,1,0,0,1,0,0
386,0,1,1,0,0,0,0,0,1,0,0
945,1,1,1,0,1,1,0,0,0,1,0
536,1,0,0,0,0,1,1,0,0,0,1
630,1,0,0,1,1,1,0,1,1,0,1
695,1,0,1,0,1,1,0,1,1,1,0
148,0,0,1,0,0,1,0,1,0,0,0
173,0,0,1,0,1,0,1,1,0,1,1
727,1,0,1,1,0,1,0,1,1,1,0
157,0,0,1,0,0,1,1,1,0,1,1
242,0,0,1,1,1,1,0,0,1,0,1
779,1,1,0,0,0,0,1,0,1,1,1
89,0,0,0,1,0,1,1,0,0,1,1
987,1,1,1,1,0,1,1,0,1,1,1
546,1,0,0,0,1,0,0,0,1,0,1
764,1,0,1,1,1,1,1,1,0,0,1
563,1,0,0,0,1,1,0,0,1,1,0
93,0,0,0,1,0,1,1,1,0,1,1
763,1,0,1,1,1,1,1,0,1,1,1
849,1,1,0,1,0,1,0,0,0,1,0
168,0,0,1,0,1,0,1,0,0,0,1
846,1,1,0,1,0,0,1,1,1,0,1
178,0,0,1,0,1,1,0,0,1,0,1
820,1,1,0,0,1,1,0,1,0,0,0
879,1,1,0,1,1,0,1,1,1,1,1
533,1,0,0,0,0,1,0,1,0,1,0
210,0,0,1,1,0,1,0,0,1,0,1
338,0,1,0,1,0,1,0,0,1,0,1
891,1,1,0,1,1,1,1,0,1,1,1
778,1,1,0,0,0,0,1,0,1,0,1
55,0,0,0,0,1,1,0,1,1,1,0
647,1,0,1,0,0,0,0,1,1,1,1
848,1,1,0,1,0,1,0,0,0,0,0
878,1,1,0,1,1,0,1,1,1,0,1
